Name,HWP,AHS,2018 HWP,2018 AHS,E.AHS,E.HWP,E.Heats,4-6' ,6-8' ,8-10+',Lefts,Rights,Both,Reef,Proj AHS,Placing
Gabriel Medina,66.92,13.59,78.57,13.22,13.07,68.18,22,14.07,14.2,13.89,14.29,13.64,14.35,13.83,12.72,1
Julian Wilson,59.14,12.55,75,12.59,9.71,56.52,23,12.71,13.17,11.53,12.18,13.6,13.22,12.78,11.16,2
Jordy Smith,59.57,13.02,59.38,12.78,10.97,41.67,12,13.42,14.35,10.26,11.51,14.47,13.98,12.57,11.56,3
Kelly Slater,60.18,13.93,16.67,13.13,13.48,62.5,24,13.19,15.11,15.68,13.97,13.96,13.5,13.87,12.9,3
Conner Coffin,42.48,10.77,45.16,11.15,10.83,42.86,7,11.71,10.93,14.21,10.67,12.25,11.92,10.58,10.52,5
Joan Duru,40.28,12.01,29.63,10.87,9.22,0,2,11.35,12.97,7.99,10.76,12.13,12.07,10.23,9.88,5
Sebastian Zietz,42.92,11.97,40.74,11.1,10.83,41.18,17,12.23,12.46,11.39,11.24,12.86,12.39,11.91,10.85,5
Yago Dora,50,11.08,32,10.13,,,0,11.01,8.56,9.43,11.39,9.4,12.65,9.55,9.34,5
Jesse Mendes,47.5,11.51,25,11.48,,,0,11.7,9.69,9.67,11.19,11.5,11.51,11.08,10.04,9
Joel Parkinson,55.51,12.83,50,11.97,10.39,50,22,13.29,12.98,12.19,12.44,14.43,12.27,12.83,11.37,9
Michel Bourez,50.87,11.77,50,12.03,10.2,55.56,18,12.4,11.15,11.77,11.35,13.45,11.3,12.23,10.73,9
Ryan Callinan,,,,8.78,,,,,,,,,,,,9
Connor O'Leary,47.95,11.78,32,11.48,10.89,50,2,11.73,12.32,11.42,12.91,11.31,11.75,11.97,10.81,13
Filipe Toledo,56.03,13.27,73.17,13.5,9.97,37.5,16,13.55,11.59,11.63,10.77,14.35,13.94,11.11,11.05,13
Griffin Colapinto,62.16,12.39,44,12.53,,,0,12.68,10.96,,9.95,12.86,13.7,11.84,10.88,13
Italo Ferreira,55.92,12.28,69.44,13.49,9.49,55.56,9,13.04,12.22,11.43,11.99,13.67,13.19,12.58,11.07,13
Jeremy Flores,45.64,12.61,46.43,11.36,12.02,66.67,21,12.08,13.6,12.33,13.32,13.11,11.8,13.45,11.66,13
Kanoa Igarashi,45.45,10.71,43.75,11.37,11.26,69.23,13,11.15,9.83,10.34,9.58,11.58,11.99,9.86,10,13
Matt Wilkinson,45.89,11.03,33.33,10.85,6.47,27.27,11,11.53,11.3,11.26,11.12,12.37,11.41,10.52,9.38,13
Michael February,44.74,9.53,25,9.26,,,0,9.54,7.65,,9.78,9.03,11.62,9.34,8.51,13
Miguel Pupo,38.67,10.69,15,9.08,8.77,42.86,14,10.72,10.7,8.9,9.59,11.56,11.51,9.43,9.14,13
Wade Carmichael,51.16,10.53,51.43,11.01,4.87,0,2,11.55,8.77,3.73,10.05,11.91,8.99,8.61,7.74,13
Michael Rodrigues,,,,8.15,,,,,,,,,,,,13
Seth Monitz,,,,11.36,,,,,,,,,,,,13
Adrian Buchan,47.17,12.28,50,11.51,8.5,46.15,13,12.93,12.86,11.9,12.97,12.43,12.45,12.46,10.7,25
Caio Ibelli,41.9,10.74,0,9.88,10.35,33.33,6,11.48,12.97,14.16,5.89,12.36,9.27,7.96,9.55,25
Ezekiel Lau,44.29,11.49,43.33,10.98,10.56,33.33,3,11.57,11.59,10.59,10.45,11.77,12.27,10.54,10.25,25
Frederico Morais,48.86,12.18,41.38,10.78,9.18,0,4,11.57,13.28,12.97,11.08,12.62,12.36,9.81,10.29,25
Ian Gouveia,43.08,10.89,20.83,10.19,10.7,66.67,6,10.97,11.33,10.47,10.83,10.56,11.95,10.51,10.02,25
Keanu Asing,37,10.37,14.29,9.6,8.04,28.57,7,10.61,10.06,5.86,10.06,10.55,11,9.4,8.65,25
Kolohe Andino,49.32,12.34,55.17,11.27,9.75,42.86,14,12.53,11.79,12.64,12.44,12.31,12.54,12.12,10.81,25
Owen Wright,52.3,13.15,55.56,11.85,8.94,33.33,6,13.41,12.03,14.02,13.65,12.97,13.01,12.97,11.2,25
Patrick Gudauskas,43.64,10.47,28,9.83,10.81,66.67,3,10.43,9.9,,10.44,10.33,11.58,9.37,9.55,25
Tomas Hermes,45.65,10.28,30.77,9.76,,,0,10.34,8.22,,5.2,10.09,12.76,6.69,8.01,25
Wiggolly Dantas,38.46,11.15,17.65,10.1,5.06,14.29,7,12.09,11.19,7.35,10.76,13.42,10.76,10.58,8.8,25
Willian Cardoso,60.42,11.75,53.33,11.34,,,0,11.85,7.53,,13.57,11.58,11.76,12.43,10.42,25
Benji Brand,,,,9.79,,,,,,,,,,,,25